Gene,GO Terms
PHB1,GO:0000122 GO:0001649 GO:0002639 GO:0006355 GO:0007005 GO:0007165 GO:0007202 GO:0008285 GO:0010628 GO:0010942 GO:0010944 GO:0023035 GO:0030308 GO:0032740 GO:0039529 GO:0040029 GO:0042113 GO:0042177 GO:0042981 GO:0044830 GO:0045745 GO:0045892 GO:0045893 GO:0045917 GO:0046718 GO:0048661 GO:0050821 GO:0050847 GO:0051897 GO:0060766 GO:0070373 GO:0070374 GO:0071354 GO:0071897 GO:0072538 GO:0140374 GO:1901224 GO:1990051 GO:2000323
SPC25,GO:0007052 GO:0007059 GO:0007094 GO:0008608 GO:0051301
PGAP6,GO:0006629 GO:0008150
OLFML1,GO:0007165
SNRPN,GO:0008380 GO:0000398
PITPNM1,GO:0006629 GO:0006661 GO:0007420 GO:0007602 GO:0015031 GO:0015914 GO:0120009
PDE1B,GO:0001505 GO:0001975 GO:0007165 GO:0007626 GO:0008542 GO:0030224 GO:0036006 GO:0042053 GO:0042428 GO:0097011
MRPL9,GO:0006412 GO:0032543
FAM234B,
CAPRIN2,GO:0017148 GO:0030154 GO:0030308 GO:0032092 GO:0033138 GO:0045944 GO:0050775 GO:0061003 GO:0090263
TPGS2,GO:0018095
CYP1B1,GO:0071407 GO:0001525 GO:0002930 GO:0006304 GO:0006805 GO:0006809 GO:0007155 GO:0007584 GO:0008202 GO:0008210 GO:0008285 GO:0008584 GO:0008631 GO:0009404 GO:0009636 GO:0010575 GO:0014911 GO:0016125 GO:0019369 GO:0019373 GO:0030199 GO:0030325 GO:0030336 GO:0032088 GO:0032354 GO:0032355 GO:0033629 GO:0042537 GO:0042572 GO:0042574 GO:0043065 GO:0043534 GO:0043542 GO:0044849 GO:0045727 GO:0045766 GO:0046427 GO:0046466 GO:0046685 GO:0048514 GO:0061304 GO:0061548 GO:0070301 GO:0071320 GO:0071356 GO:0071373 GO:0071387 GO:0071393 GO:0071548 GO:0071603 GO:0071680 GO:0097267 GO:2000377 GO:2000379 GO:2000573
MXI1,GO:0000122 GO:0006357
IGSF10,GO:0001503 GO:0030154 GO:2001222
PPP1R3A,GO:0005977 GO:0005979
KRBA1,GO:0008150
MGA,GO:0045893 GO:0001708 GO:0006357
ANKRD2,GO:0000122 GO:0043619 GO:0006936 GO:0007517 GO:0045662 GO:0006357
DNAJA3,GO:0000122 GO:0006264 GO:0006457 GO:0006924 GO:0007264 GO:0008285 GO:0009408 GO:0033077 GO:0042102 GO:0071340 GO:0090398 GO:0007005 GO:0043066
KRTAP20-2,
GALK1,GO:0006012 GO:0019388 GO:0019402 GO:0033499 GO:0046835 GO:0061623
IL12B,GO:1900747 GO:1903588 GO:0050709 GO:0001817 GO:0001916 GO:0002230 GO:0002323 GO:0002827 GO:0002860 GO:0002862 GO:0010224 GO:0010536 GO:0016477 GO:0019233 GO:0019953 GO:0030101 GO:0032693 GO:0032700 GO:0032725 GO:0032729 GO:0032733 GO:0032735 GO:0032740 GO:0032760 GO:0032816 GO:0032819 GO:0032946 GO:0034105 GO:0034393 GO:0035722 GO:0042088 GO:0042093 GO:0042098 GO:0042102 GO:0042104 GO:0042509 GO:0042531 GO:0042832 GO:0043382 GO:0045672 GO:0045785 GO:0048662 GO:0050671 GO:0050729 GO:0050829 GO:0051135 GO:0051142 GO:0051607 GO:0071222 GO:0071346 GO:1901224 GO:2000318 GO:2000330 GO:0019221
PRKACA,GO:0001707 GO:0001843 GO:0002027 GO:0003091 GO:0006397 GO:0006468 GO:0006611 GO:0007189 GO:0010881 GO:0016241 GO:0018105 GO:0018107 GO:0019221 GO:0032024 GO:0034380 GO:0034605 GO:0035584 GO:0043393 GO:0045667 GO:0045722 GO:0046777 GO:0046827 GO:0048240 GO:0051480 GO:0051726 GO:0055117 GO:0060314 GO:0061136 GO:0070417 GO:0070613 GO:0071333 GO:0071374 GO:0071377 GO:0071872 GO:0086064 GO:0099170 GO:1901621 GO:1903779 GO:1904539 GO:1990044 GO:2000810 GO:0010737
HTR6,GO:0021795 GO:0032008 GO:0098664 GO:0007187 GO:0007268
MRPS10,GO:0008150 GO:0032543
ABCA3,GO:0006855 GO:0006869 GO:0009410 GO:0010875 GO:0015914 GO:0019538 GO:0030324 GO:0032464 GO:0034204 GO:0042908 GO:0043129 GO:0046470 GO:0046471 GO:0046618 GO:0046890 GO:0051384 GO:0055091 GO:0070925 GO:0120009 GO:0150172 GO:1902995 GO:2001140
ESRRG,GO:0006355 GO:0043401 GO:0045944 GO:0048384 GO:0120162 GO:0006357
OR6C3,GO:0007186 GO:0007608 GO:0050911
NMI,GO:0002281 GO:0007259 GO:0008285 GO:0009615 GO:0032687 GO:0032688 GO:0034142 GO:0045087 GO:0045089 GO:0045824 GO:0050729 GO:0070936 GO:1901223 GO:1901224 GO:1902524
PDF,GO:0006412 GO:0008284 GO:0018206 GO:0031365 GO:0043686
SERPINB11,GO:0010951
SLC8A2,GO:0106056 GO:0002931 GO:0006874 GO:0007611 GO:0010468 GO:0050808 GO:0050890 GO:0051480 GO:0060291 GO:0071902 GO:0098815 GO:0099608 GO:0006811 GO:0007154 GO:0007612 GO:0007613 GO:0035725 GO:0048172 GO:0070050 GO:0070588 GO:0099566 GO:0150104 GO:1903779 GO:1990034 GO:0098703
EPCAM,GO:0001657 GO:0008284 GO:0023019 GO:0045944 GO:0048863 GO:0098609 GO:2000048 GO:2000648
ILDR2,GO:0009749 GO:0030073 GO:0030154 GO:0043484 GO:0048873 GO:0050868 GO:0031016
PPP1R18,
TAAR2,GO:0007186
PASD1,GO:0042754 GO:0045892 GO:0006357 GO:0032922
RPS6KA4,GO:0001818 GO:0006338 GO:0006355 GO:0006468 GO:0006954 GO:0032793 GO:0035556 GO:0043687 GO:0045944 GO:0051092 GO:0070498
COG2,GO:0000301 GO:0006891 GO:0007030 GO:0015031 GO:0070085
OR2T6,GO:0007186 GO:0050911
NKD1,GO:0001754 GO:0007525 GO:0016055 GO:0045732 GO:0090090 GO:0090249 GO:1901231 GO:1901233 GO:2000096 GO:0030178
OR4D5,GO:0007186 GO:0050911
PRDM13,GO:0000122 GO:0006338 GO:0021979 GO:0032259 GO:0097154
FRMD6,GO:0003383 GO:0008104 GO:0032970 GO:0035332
IGLL1,GO:0006955
CD80,GO:0002710 GO:0009967 GO:0032725 GO:0032743 GO:0035556 GO:0042110 GO:0045627 GO:0045893 GO:0046718 GO:0050731 GO:0071222 GO:0007166 GO:0042102 GO:0006955 GO:0042130 GO:0031295
ANKRD11,GO:0042475 GO:0048705 GO:0060325
SPATA6,GO:0007283 GO:0030154 GO:0044458
CCL2,GO:0000165 GO:0001525 GO:0002548 GO:0006468 GO:0006935 GO:0006954 GO:0006959 GO:0007010 GO:0007155 GO:0007165 GO:0007166 GO:0007187 GO:0007259 GO:0008360 GO:0009617 GO:0009887 GO:0019079 GO:0019221 GO:0019233 GO:0019725 GO:0031663 GO:0034351 GO:0035684 GO:0043491 GO:0043524 GO:0043615 GO:0044344 GO:0048246 GO:0050870 GO:0051770 GO:0051968 GO:0071222 GO:0071346 GO:0071347 GO:0071356 GO:0071407 GO:0090280 GO:1904783 GO:1905563 GO:2000134 GO:2000353 GO:2000427 GO:2000502 GO:0070098 GO:0048245 GO:0007186 GO:0048247 GO:0030593 GO:0070374 GO:0043547
FARSB,GO:0006412 GO:0006432 GO:0051290
MAN1B1,GO:0006486 GO:0009311 GO:0019082 GO:0030433 GO:0036508 GO:0036509 GO:0036510 GO:0036511 GO:0036512 GO:1904380 GO:1904382 GO:0006491
PRSS35,
MEIOC,GO:0006302 GO:0007130 GO:0007286 GO:0048599 GO:0051310 GO:0051729 GO:0070192 GO:0007144 GO:0048255 GO:0007141
ATP11B,GO:0006811 GO:0015917 GO:0034220 GO:0045332
HS3ST6,GO:0001835 GO:0015015
CTAGE1,GO:0008150 GO:0006888 GO:0009306 GO:0035459
EPHB2,GO:0006469 GO:2000785 GO:0001525 GO:0001655 GO:0001933 GO:0002639 GO:0007162 GO:0007399 GO:0007411 GO:0007413 GO:0007611 GO:0007612 GO:0010628 GO:0016310 GO:0018108 GO:0021631 GO:0021934 GO:0021952 GO:0022038 GO:0030193 GO:0030335 GO:0030890 GO:0031290 GO:0031915 GO:0032760 GO:0042113 GO:0042472 GO:0046425 GO:0046580 GO:0048013 GO:0048168 GO:0048170 GO:0048593 GO:0050771 GO:0050878 GO:0051489 GO:0051965 GO:0060021 GO:0060996 GO:0060997 GO:0061003 GO:0070373 GO:0071222 GO:0071679 GO:0097104 GO:0099557 GO:0106028 GO:0110077 GO:0120192 GO:1900016 GO:1900273 GO:1903078 GO:1904646 GO:1904782 GO:1904783 GO:2000010 GO:2000316 GO:2000822 GO:0006468
AFF4,GO:0007286 GO:0034976 GO:0010468
TNFRSF19,GO:0001942 GO:0006915 GO:0007254 GO:0033209 GO:0043123 GO:0046330
GJA5,GO:0060307 GO:0060373 GO:0003161 GO:0001525 GO:0003105 GO:0003151 GO:0003158 GO:0003174 GO:0003193 GO:0003281 GO:0003283 GO:0006813 GO:0010643 GO:0010649 GO:0010652 GO:0016264 GO:0042311 GO:0045776 GO:0045907 GO:0048844 GO:0055085 GO:0055117 GO:0060371 GO:0086021 GO:0086044 GO:0086053 GO:0086054 GO:0086055 GO:0086064 GO:0098904 GO:0098905 GO:0098906 GO:0098910 GO:1990029 GO:0007267 GO:0007507
ANO9,GO:0006629 GO:0006821 GO:0034220 GO:0051649 GO:0061589 GO:0061590 GO:0061591 GO:1902939 GO:1902476
HSF4,GO:0000122 GO:0070306 GO:0006357
LETM2,GO:0030003
THAP12,GO:0007165 GO:0008285
ZBTB11,GO:0006357 GO:0008150 GO:0006355
PABPN1,GO:0000165 GO:0006396 GO:0006397 GO:0006936 GO:0016973 GO:0071222 GO:1904247
ZBTB8OS,GO:0006388
CHCHD5,GO:0008150 GO:0045333
SHISAL1,
SPART,GO:0051881 GO:0009838 GO:0030509 GO:0034389 GO:0048669 GO:0048698 GO:0050905 GO:0051301 GO:0060612 GO:0030514
TBX4,GO:0002009 GO:0030324 GO:0035108 GO:0035116 GO:0045893 GO:0048705 GO:1990401 GO:0001525 GO:0006357 GO:0001708
