Gene,GO Terms
GNLY,GO:0006968 GO:0031640 GO:0042742 GO:0050832 GO:0061844
SLCO3A1,GO:0001934 GO:0006811 GO:0015732 GO:0043252 GO:0051092 GO:0055085 GO:0150104
MAP3K5,GO:0000165 GO:0002931 GO:0006468 GO:0007254 GO:0008631 GO:0010666 GO:0034198 GO:0034976 GO:0038066 GO:0042060 GO:0043065 GO:0043280 GO:0043507 GO:0045087 GO:0045663 GO:0045860 GO:0045893 GO:0046330 GO:0051403 GO:0070059 GO:0070301 GO:0071356 GO:0072577 GO:0090398 GO:0097190 GO:0097300 GO:1900745 GO:1901216 GO:1902170 GO:1904707 GO:0033554
NUDT13,GO:0006734 GO:0006742 GO:0015949
TRIR,GO:0016075 GO:0090503
TGFBR3,GO:0001666 GO:0001837 GO:0001889 GO:0003007 GO:0003150 GO:0003151 GO:0003223 GO:0006955 GO:0007179 GO:0007181 GO:0016477 GO:0030509 GO:0030511 GO:0030512 GO:0031100 GO:0032354 GO:0034695 GO:0034699 GO:0035556 GO:0043393 GO:0050680 GO:0055010 GO:0060038 GO:0060045 GO:0060216 GO:0060317 GO:0060318 GO:0060347 GO:0060389 GO:0060412 GO:0060939 GO:0060979 GO:0061384 GO:0062009
TFAP4,GO:0006978 GO:0008285 GO:0010629 GO:0043065 GO:0043392 GO:0043922 GO:0043923 GO:0045736 GO:0045892 GO:0045893 GO:0045944 GO:0065003 GO:0071549 GO:1901990 GO:2001269 GO:0006357
NAP1L3,GO:0006334
ADD3,GO:0007010 GO:0051016
TAS2R10,GO:0001580 GO:0007186
TEKT3,GO:0060378 GO:0030317 GO:0060271 GO:0060294
CUL4A,GO:0000082 GO:0001701 GO:0006281 GO:0006974 GO:0008283 GO:0008284 GO:0016567 GO:0030097 GO:0030853 GO:0034644 GO:0035019 GO:0042254 GO:0043161 GO:0045732 GO:0048511 GO:0097193 GO:1900087 GO:2000001 GO:2000819
SCML2,GO:0006355 GO:0009653
PRDM5,GO:0000122 GO:0045944 GO:0000278 GO:0006325 GO:0032259 GO:0045892 GO:1903053 GO:1990830
IGKV1D-12,GO:0002250 GO:0006955 GO:0002377
CRKL,GO:0001558 GO:0001568 GO:0001655 GO:0001764 GO:0001783 GO:0001933 GO:0001934 GO:0003151 GO:0006629 GO:0007254 GO:0007265 GO:0007283 GO:0007338 GO:0008284 GO:0008543 GO:0008584 GO:0009952 GO:0010629 GO:0016358 GO:0021766 GO:0021987 GO:0030010 GO:0033628 GO:0035556 GO:0035685 GO:0038026 GO:0048384 GO:0048538 GO:0050773 GO:0050852 GO:0060017 GO:0060326 GO:0060465 GO:0070374 GO:0071466 GO:0071560 GO:0086100 GO:0090630 GO:0095500 GO:0098698 GO:0098749 GO:0098761 GO:1900026 GO:1903977 GO:1904393 GO:1904888 GO:2000404
KCNH8,GO:0034765 GO:0042391 GO:0071805
DUS1L,GO:0002943
SFTA2,
FAM217A,
FOXE3,GO:0006366 GO:0001654 GO:0002088 GO:0002930 GO:0042789 GO:0043066 GO:0048468 GO:0050673 GO:0051726 GO:0061072 GO:0061073 GO:0061303 GO:1902747 GO:2001111 GO:0030154 GO:0009653 GO:0006357
WDR11,GO:0006886 GO:0007507 GO:0008589 GO:0035264 GO:0060271 GO:0060322 GO:0099041
ESRP1,GO:0006397 GO:0008380 GO:0042669 GO:0043484
PKP1,GO:0007155 GO:0007165 GO:0010628 GO:0045110 GO:1902373 GO:0007043 GO:0098609
SOX5,GO:0001502 GO:0002062 GO:0006366 GO:0032332 GO:0051216 GO:0055059 GO:0061036 GO:0071560 GO:2000741 GO:0006357 GO:0045165
INO80E,GO:0000723 GO:0006275 GO:0006281 GO:0006282 GO:0006310 GO:0006338 GO:0033044 GO:0045739 GO:0045893 GO:0045995 GO:0051726 GO:0060382 GO:1904507
C19ORF47,
DPEP2,GO:0006508 GO:0006691 GO:1901749
MRPL28,GO:0006412 GO:0032543
RTL10,GO:0051881 GO:0097345
MYOF,GO:0001778 GO:0006936 GO:0008015 GO:0046928
ACOT7,GO:0015937 GO:0036114 GO:0036116 GO:0051792 GO:1900535 GO:0006637
BRMS1L,GO:0000122 GO:0030336 GO:0030512 GO:1902455 GO:1902459 GO:0016575
PYHIN1,GO:0007049 GO:0031648 GO:0035457 GO:0043388 GO:0045893 GO:0050821 GO:1900182 GO:1902164 GO:2000060 GO:0002218 GO:0032731 GO:0035458
NR2C1,GO:0000122 GO:0030522 GO:0043401 GO:0048386 GO:0048856 GO:0030154
MATN4,GO:0030198
STT3A,GO:0006487 GO:0018279 GO:0043686 GO:0043687
MEOX1,GO:0001757 GO:0045944 GO:0060218 GO:0061053 GO:0061056 GO:0006357
REST,GO:0000122 GO:0000381 GO:0001666 GO:0002244 GO:0002931 GO:0006338 GO:0006355 GO:0008285 GO:0010629 GO:0032348 GO:0035019 GO:0043065 GO:0043068 GO:0043280 GO:0043922 GO:0045665 GO:0045666 GO:0045667 GO:0045892 GO:0045893 GO:0045955 GO:0046676 GO:0050768 GO:0050877 GO:0060379 GO:0071257 GO:0071385 GO:0071466 GO:0097150 GO:0099563 GO:1902459 GO:1902894 GO:2000065 GO:2000706 GO:2000740 GO:2000798
GGT1,GO:0002682 GO:0006508 GO:0006520 GO:0006536 GO:0006631 GO:0006691 GO:0006750 GO:0006751 GO:0007283 GO:0019344 GO:0031638 GO:0050727 GO:1901750 GO:0031179
OXGR1,GO:0007186
SP4,GO:0006357
TRIM67,GO:0010976 GO:0032880 GO:0046580 GO:2000060
MNX1,GO:0000122 GO:0048812 GO:0031018 GO:0007417 GO:0021520
ARHGAP30,GO:0051056 GO:0007264
COPS4,GO:0000338 GO:0045116 GO:2000434
GBP2,GO:0002218 GO:0006955 GO:0034504 GO:0042742 GO:0051607 GO:0051715 GO:0071222 GO:0071346 GO:0071347 GO:0071356 GO:0140639 GO:0140973 GO:0050830 GO:0042832
PSMA8,GO:0006511 GO:0007283 GO:0010498 GO:0030154 GO:0051321 GO:0060631
TSSC4,GO:0000244 GO:0000387
GABRE,GO:2001226 GO:0007214 GO:1902476 GO:0050877 GO:0060078 GO:0007165 GO:0051932
EXOC5,GO:0000281 GO:0001736 GO:0006892 GO:0006904 GO:0015031 GO:0072659 GO:0090148 GO:0090522 GO:1904019 GO:1905515 GO:0006887 GO:0006893
LMO3,GO:0035360 GO:0045600 GO:0070373 GO:2000324 GO:0045944
HDGFL1,GO:0006338
MYO1H,GO:0007015 GO:0030050
CAMTA2,GO:0006357 GO:0014898 GO:0045944 GO:0006351
MON1A,GO:0006623 GO:0016192 GO:0009306
DOCK10,GO:0001782 GO:0002315 GO:0007264 GO:0030334 GO:0043547 GO:0060997
HOXC12,GO:0006357
CDK9,GO:0006468 GO:0006281 GO:0006282 GO:0006366 GO:0006367 GO:0006368 GO:0008283 GO:0009410 GO:0010613 GO:0031297 GO:0031440 GO:0032968 GO:0043923 GO:0045944 GO:0051147 GO:0051647 GO:0051726 GO:0071345 GO:0120186 GO:0120187 GO:0140673
ATP11C,GO:0034220 GO:0045332 GO:0140331
DHRS12,
SFN,GO:0000079 GO:0000122 GO:0001836 GO:0003334 GO:0006469 GO:0006611 GO:0008630 GO:0010482 GO:0010737 GO:0010839 GO:0030307 GO:0031424 GO:0043154 GO:0043616 GO:0045606 GO:0046827 GO:0061436 GO:0072089 GO:2000647 GO:0007165
ZNF529,GO:0000122
TM4SF19,
GOLGA1,
POSTN,GO:0007155 GO:0008593 GO:0009888 GO:0071307 GO:0030198
DENND6A,GO:2000049
MYT1L,GO:0000122 GO:0006357 GO:0007399 GO:0030182 GO:0048663 GO:0048665 GO:0048666
EPHA2,GO:0001501 GO:0001570 GO:0001649 GO:0002043 GO:0006468 GO:0006954 GO:0007155 GO:0008630 GO:0010591 GO:0014028 GO:0016477 GO:0016525 GO:0021915 GO:0030182 GO:0030216 GO:0030316 GO:0030335 GO:0032682 GO:0033598 GO:0033628 GO:0036342 GO:0043491 GO:0043535 GO:0045765 GO:0046058 GO:0046718 GO:0046849 GO:0048013 GO:0048320 GO:0048870 GO:0050830 GO:0051898 GO:0060035 GO:0060326 GO:0060444 GO:0070309 GO:0070372 GO:0070848 GO:0072659 GO:0090630 GO:1901491 GO:1903078 GO:1903348 GO:1904238 GO:0007275 GO:0033674 GO:0007169
AIF1L,GO:0051017 GO:0097178
TCTA,GO:0045671 GO:0072675
SSX2IP,GO:0007098 GO:0007155 GO:0035020 GO:0035735 GO:0060271 GO:2000145
CCDC15,
OR11A1,GO:0007186 GO:0050911
PCDHGC4,GO:0007156 GO:0007399 GO:0043524 GO:0050808 GO:0007155
WDR19,GO:0035721 GO:0000902 GO:0001701 GO:0008406 GO:0030326 GO:0031076 GO:0042471 GO:0048701 GO:0050877 GO:0055123 GO:0060271 GO:0060830 GO:0060831 GO:0061055 GO:0065003 GO:1903441
DYNLT1,GO:0000132 GO:0007399 GO:0008277 GO:0019060 GO:0046718 GO:0050768 GO:0051301 GO:0075521 GO:0007018
FAM32A,GO:0006915 GO:0007049 GO:0008150
AQP11,GO:0006486 GO:0006612 GO:0006833 GO:0008284 GO:0009992 GO:0015793 GO:0032364 GO:0048388 GO:0050680 GO:0051260 GO:0072014 GO:0080170 GO:1903573 GO:1904293
OPN1SW,GO:0007165 GO:0007601 GO:0007602 GO:0071492 GO:0007186 GO:0071482
KDF1,GO:0003334 GO:0010482 GO:0010839 GO:0016331 GO:0043616 GO:0045606 GO:0048589 GO:0060887 GO:0061436 GO:0072089 GO:2000647
MSH6,GO:0006298 GO:0000710 GO:0006281 GO:0007283 GO:0008340 GO:0008630 GO:0009411 GO:0016446 GO:0016447 GO:0045190 GO:0045910 GO:0051096 GO:0097193
FEZF1,GO:0000122 GO:0007411 GO:0008285 GO:0021772 GO:0021797 GO:0043697 GO:0045666 GO:0045893 GO:0050767 GO:1904936 GO:0006357
DAB1,GO:0007162 GO:0007259 GO:0007264 GO:0007409 GO:0007628 GO:0016358 GO:0021589 GO:0021766 GO:0021813 GO:0021942 GO:0045666 GO:0045860 GO:0046426 GO:0048708 GO:0048712 GO:0050771 GO:0051645 GO:0140650 GO:0021517 GO:0097477
DEGS1,GO:0006636 GO:0022900 GO:0030148 GO:0043217 GO:0046513
VASP,GO:0008154 GO:0030838 GO:0051289 GO:0001843 GO:0007411 GO:0030036
RHAG,GO:0006873 GO:0015670 GO:0015701 GO:0035378 GO:0048821 GO:0060586 GO:0072488 GO:0072489 GO:0098662 GO:0097272
KIAA1549,
CSTB,GO:0008344 GO:0010466 GO:0045861
AP1B1,GO:0001822 GO:0006886 GO:0007368 GO:0007507 GO:0016192 GO:0060155 GO:0110010 GO:1903232
RYK,GO:0007165 GO:0007409 GO:0007411 GO:0007416 GO:0022008 GO:0022038 GO:0030182 GO:0031175 GO:0033278 GO:0035567 GO:0036518 GO:0043410 GO:0048705 GO:0048843 GO:0048846 GO:0060070 GO:0071679 GO:1904938 GO:1904948 GO:1904953 GO:0007275 GO:0007169 GO:0033674
ZNF816,GO:0006355
P2RX2,GO:0001666 GO:0002931 GO:0003029 GO:0007274 GO:0007528 GO:0007605 GO:0009743 GO:0010524 GO:0014832 GO:0030432 GO:0033198 GO:0035590 GO:0048266 GO:0048741 GO:0050850 GO:0050909 GO:0060079 GO:0098655
PKDCC,GO:0001501 GO:0015031 GO:0018108 GO:0030154 GO:0030282 GO:0030501 GO:0032332 GO:0035108 GO:0035264 GO:0042997 GO:0048286 GO:0048566 GO:0060021
MYO6,GO:0006886 GO:0006897 GO:0007605 GO:0030048 GO:0030330 GO:0051046 GO:0030050 GO:0042491 GO:0042472 GO:0007015
GPR143,GO:0006726 GO:0007165 GO:0007186 GO:0007218 GO:0007601 GO:0032400 GO:0032402 GO:0032438 GO:0035584 GO:0048015 GO:0050848 GO:1902908 GO:1903056
PLAA,GO:0006644 GO:0006693 GO:0006954 GO:0007165 GO:0007399 GO:0016236 GO:0032430 GO:0043162 GO:0071222 GO:1900045 GO:1903423 GO:1903861 GO:2001224 GO:0043161 GO:0010992
PDE11A,GO:0007165 GO:0008152 GO:0043951 GO:0010754
ARMC1,GO:0048312
OR8U1,GO:0050911 GO:0007608 GO:0007186
TMX3,GO:0018171
CDADC1,GO:0009972 GO:0070383
DLL3,GO:0001501 GO:0001756 GO:0007386 GO:0030154 GO:0048339 GO:0050768 GO:0007219
LRRC40,
TMEM50A,GO:0032511
ZC3H7B,GO:0010608 GO:0035196
TTC16,
IGSF6,GO:0006955 GO:0007166
IGKV5-2,GO:0002250 GO:0006955 GO:0002377
CFAP92,
PIP4K2C,GO:0010506 GO:0016310 GO:0046627 GO:0090217 GO:1902635 GO:2000786
ACOX3,GO:0033540 GO:0055088
CLEC4A,GO:0001818 GO:0002250 GO:0002470 GO:0007155 GO:0007166 GO:0032720 GO:0036037 GO:0042590 GO:0061760
GPER1,GO:0042311 GO:0001934 GO:0001956 GO:0002695 GO:0006954 GO:0007049 GO:0007186 GO:0007189 GO:0007204 GO:0007399 GO:0008284 GO:0008285 GO:0010628 GO:0010629 GO:0010948 GO:0014068 GO:0019228 GO:0030154 GO:0030263 GO:0030264 GO:0030335 GO:0030518 GO:0032024 GO:0032962 GO:0043065 GO:0043280 GO:0043401 GO:0043410 GO:0045087 GO:0045599 GO:0045742 GO:0045745 GO:0045944 GO:0050728 GO:0050769 GO:0051055 GO:0051281 GO:0051480 GO:0051726 GO:0051898 GO:0070373 GO:0070374 GO:0070474 GO:0071333 GO:0071356 GO:0071375 GO:0071389 GO:0071392 GO:0090200 GO:1903078 GO:1904706 GO:2000353 GO:2000724 GO:2001238
SLC4A10,GO:0006821 GO:0007601 GO:0009416 GO:0009791 GO:0015701 GO:0021860 GO:0035264 GO:0035641 GO:0035725 GO:0048172 GO:0048854 GO:0098656 GO:1902600 GO:0051453 GO:0055085
SRP72,GO:0006614
LRRC8E,GO:0006884 GO:0015810 GO:0071470 GO:0098656 GO:0140361
EBAG9,GO:0001558 GO:0001913 GO:0006915 GO:0090717
SORBS3,GO:0000122 GO:0000165 GO:0007010 GO:0007155 GO:0031589 GO:0043410 GO:0051495 GO:0051496
KYAT3,GO:0006103 GO:0006520 GO:0009058 GO:0070189 GO:0097053
SQLE,GO:0006725 GO:0010033 GO:0016126 GO:0042127 GO:0140042 GO:0008203
LALBA,GO:0005989 GO:0006915 GO:0007165 GO:0007267 GO:0042742
SYPL1,GO:0007268
OPLAH,GO:0006749
PTPRR,GO:0001701 GO:0006470 GO:0010633 GO:0038128 GO:0070373 GO:0007165 GO:0035335
GOLT1B,GO:0006888 GO:0015031 GO:0042147 GO:0043123
SETDB2,GO:0000278 GO:0001947 GO:0007059 GO:0045892 GO:0051301 GO:0070986 GO:0010629 GO:0051567 GO:0090309 GO:0070828
MDGA1,GO:0001764 GO:0007420 GO:0021527 GO:0021799 GO:0099179 GO:1905606 GO:0007399
TEX101,GO:0007339 GO:0009566 GO:0030317 GO:1901317
GABRB3,GO:0007214 GO:0051932 GO:0060021 GO:0071420 GO:1902476 GO:1904862 GO:0007268 GO:0007165 GO:0050877 GO:0034220 GO:0042391
TBC1D10A,GO:0042147 GO:0045862 GO:0097202 GO:0090630
CYBA,GO:0001666 GO:0001938 GO:0003106 GO:0006801 GO:0006954 GO:0009410 GO:0014823 GO:0014895 GO:0017004 GO:0022900 GO:0030307 GO:0031667 GO:0032755 GO:0032760 GO:0032930 GO:0033864 GO:0034137 GO:0042554 GO:0045087 GO:0045730 GO:0048661 GO:0050665 GO:0050766 GO:0051279 GO:0051649 GO:0070254 GO:0070257 GO:0070555 GO:0071260 GO:0071333 GO:0071356 GO:0071407 GO:0071480 GO:1900426 GO:1903428 GO:1904044 GO:1904385 GO:1904845
MACIR,GO:0006954 GO:0010631 GO:0010633 GO:0010761 GO:0015031 GO:0050728 GO:0060271 GO:1900016 GO:0010764
RNF19A,GO:0000226 GO:0099576 GO:0000209 GO:0006511 GO:0032436
UTP4,GO:0006355 GO:0030490 GO:0042274 GO:0000462
SERPINA5,GO:0006869 GO:0007283 GO:0007342 GO:0051346 GO:0010951
CAMP,GO:0042742 GO:0051873 GO:0001934 GO:0002227 GO:0008284 GO:0019731 GO:0019835 GO:0042119 GO:0045766 GO:0050830 GO:0061844 GO:0071222 GO:0071224 GO:0071347 GO:0071354 GO:0071356 GO:1990000 GO:0045087 GO:0050829
RNF111,GO:0000209 GO:0007389 GO:0016567 GO:0031398 GO:0045893 GO:0070911 GO:0030511 GO:0030579
CLASP2,GO:0000226 GO:0006903 GO:0007020 GO:0007026 GO:0007030 GO:0007052 GO:0007163 GO:0010458 GO:0010470 GO:0010634 GO:0010717 GO:0031023 GO:0031110 GO:0032886 GO:0034453 GO:0045921 GO:0051301 GO:0051497 GO:0051895 GO:0072659 GO:0090091 GO:1903690 GO:1904261 GO:0090307 GO:0040001
CDS2,GO:0006655 GO:0016024 GO:0140042
BTN3A2,GO:0002456 GO:0032729 GO:0001817 GO:0050852
IZUMO1,GO:0007155 GO:0007338 GO:0007342 GO:0034113 GO:0035036
NTAQ1,GO:0036211
ALG6,GO:0006487 GO:0006488 GO:0006490
SHPK,GO:0005975 GO:0006098 GO:0009052 GO:0016310 GO:0035963 GO:0043030 GO:0050727 GO:0071222 GO:0071353 GO:0006071
ARID4B,GO:0000122 GO:0006306 GO:0006349 GO:0006366 GO:0007283 GO:0008150 GO:0030336 GO:0030512 GO:0045944 GO:0097368 GO:1902455 GO:1902459 GO:0006357
GJB6,GO:0003163 GO:0006915 GO:0007605 GO:0008285 GO:0010644 GO:0016264 GO:0032496 GO:0035633 GO:0042471 GO:0048839 GO:0051602 GO:0055085 GO:0071333 GO:1990349 GO:0007267
TUBB2B,GO:0001764 GO:0007017 GO:0021987 GO:0050804 GO:1902669 GO:1990403 GO:0000278 GO:0000226
ZDHHC4,GO:0018230 GO:0006612
CDH5,GO:2000352 GO:0001932 GO:0001955 GO:0006874 GO:0007043 GO:0007156 GO:0007179 GO:0008285 GO:0010628 GO:0030335 GO:0030513 GO:0031115 GO:0031334 GO:0034332 GO:0035307 GO:0035633 GO:0043114 GO:0043534 GO:0044331 GO:0045766 GO:0050728 GO:0070830 GO:0098609 GO:1902396 GO:1903142 GO:2000114 GO:0000902 GO:0007275 GO:0001944 GO:0016339
UBE2J2,GO:0006986 GO:0030433 GO:1903955 GO:0000209
TMEM217,
KMO,GO:0006569 GO:0009651 GO:0019674 GO:0019805 GO:0034276 GO:0034354 GO:0043420 GO:0070189 GO:0071222 GO:0071347 GO:0097052 GO:1901216 GO:1903296
CLEC5A,GO:0001819 GO:0002076 GO:0006968 GO:0007165 GO:0030099 GO:0033033 GO:0043066 GO:0045087 GO:0046718
RADX,GO:2000042 GO:0006282
ERN2,GO:0006397 GO:0006468 GO:0016075 GO:0030263 GO:0034976 GO:0043507 GO:0045892 GO:0090502 GO:0070059 GO:0036498
PAPSS2,GO:0000103 GO:0007596 GO:0016310 GO:0042445 GO:0050428 GO:0060348
ZNF16,GO:0007049 GO:0008284 GO:0033674 GO:0043066 GO:0045648 GO:0045654 GO:0051301 GO:0051781 GO:0072707 GO:1901989
PXT1,GO:0008150 GO:0043065
PPFIA1,GO:0051497 GO:1903077 GO:0007160 GO:0007165 GO:0007420 GO:0099072 GO:0050808
SIM1,GO:0001657 GO:0007399 GO:0030154 GO:0006357
TSKS,
IGHV3-11,GO:0002250 GO:0006955
SEPTIN12,GO:0007283 GO:0030154 GO:0061640
CD70,GO:0002456 GO:0007165 GO:0007267 GO:0019724 GO:0033209 GO:0042100 GO:0042102 GO:0097191
TREM2,GO:0019216 GO:0060100 GO:0010628 GO:0030316 GO:0050731 GO:1900226 GO:0070269 GO:0038160 GO:0050829 GO:0007613 GO:0035176 GO:0001774 GO:0001934 GO:0002282 GO:0002588 GO:0002862 GO:0002931 GO:0006910 GO:0006911 GO:0006959 GO:0010468 GO:0010507 GO:0010822 GO:0010875 GO:0010887 GO:0010891 GO:0010983 GO:0014067 GO:0014068 GO:0032006 GO:0032008 GO:0032497 GO:0032499 GO:0032675 GO:0032691 GO:0032720 GO:0032733 GO:0033674 GO:0034136 GO:0034144 GO:0034151 GO:0034241 GO:0034351 GO:0043124 GO:0043277 GO:0045088 GO:0045672 GO:0045728 GO:0045960 GO:0048143 GO:0048678 GO:0050714 GO:0050730 GO:0050766 GO:0050850 GO:0050866 GO:0050921 GO:0055088 GO:0060075 GO:0061518 GO:0061889 GO:0070345 GO:0070374 GO:0070392 GO:0071223 GO:0071224 GO:0071333 GO:0071396 GO:0071456 GO:0071640 GO:0097028 GO:0097062 GO:0098657 GO:0110089 GO:0120035 GO:0140052 GO:0150062 GO:0150079 GO:0150094 GO:1900015 GO:1900016 GO:1900223 GO:1901076 GO:1901224 GO:1901800 GO:1901980 GO:1902227 GO:1902531 GO:1903078 GO:1903082 GO:1903376 GO:1903753 GO:1903980 GO:1904093 GO:1904141 GO:1904646 GO:1904951 GO:1905291 GO:1905581 GO:1905805 GO:1905808 GO:1905907 GO:2000350 GO:2001171
ALK,GO:0046777 GO:0007165 GO:0007169 GO:0016310 GO:0021766 GO:0030534 GO:0036269 GO:0038061 GO:0038083 GO:0042981 GO:0048666 GO:0050995 GO:0051092 GO:0060159 GO:0090648 GO:0097009 GO:1900006 GO:0045664 GO:0033674 GO:0042127 GO:0007275
IFNB1,GO:0007259 GO:0043330 GO:0002312 GO:0007166 GO:0009615 GO:0010508 GO:0019221 GO:0030101 GO:0033141 GO:0035458 GO:0042100 GO:0045071 GO:0045087 GO:0045089 GO:0045343 GO:0045581 GO:0045944 GO:0051607 GO:0060337 GO:0070050 GO:0071360 GO:0098586 GO:0140123 GO:2000552 GO:2001235 GO:0002250 GO:0002323 GO:0030183 GO:0002286 GO:0006959
BIRC2,GO:0000209 GO:0001666 GO:0001890 GO:0006915 GO:0007166 GO:0007249 GO:0033209 GO:0034121 GO:0038061 GO:0039535 GO:0042127 GO:0042981 GO:0043066 GO:0043123 GO:0043161 GO:0045088 GO:0045471 GO:0045595 GO:0045893 GO:0050727 GO:0051591 GO:0051726 GO:0060544 GO:0070266 GO:0070424 GO:1901222 GO:1902443 GO:1902523 GO:1902524 GO:1902527 GO:2000116 GO:2000377 GO:0060546 GO:0031398
SPAM1,GO:0005975 GO:0007155 GO:0007339 GO:0007342 GO:0030214
CHRNB4,GO:0006811 GO:0006939 GO:0006940 GO:0007165 GO:0007271 GO:0007626 GO:0019228 GO:0035095 GO:0046928 GO:0051971 GO:0060079 GO:0060084 GO:0050877 GO:0042391 GO:0034220 GO:0007268
TIE1,GO:1901201 GO:0001936 GO:0060836 GO:0001525 GO:0001570 GO:0001701 GO:0003180 GO:0006468 GO:0007165 GO:0007498 GO:0016525 GO:0030336 GO:0032526 GO:0045026 GO:0048771 GO:0060854 GO:0033674 GO:0007275 GO:0007169
MASTL,GO:0000086 GO:0000278 GO:0006974 GO:0007147 GO:0032515 GO:0051301 GO:0051726 GO:1904668 GO:0035556 GO:0018105
INTS15,
GTF3C5,GO:0006383 GO:0006384 GO:0035914 GO:0042791 GO:0042797
ZNF460,GO:0006357 GO:0006355
PIP4K2A,GO:0010506 GO:0016310 GO:0035855 GO:0046627 GO:0061909 GO:0090119 GO:0090217 GO:1902635 GO:2000786
LDAF1,GO:0140042
MAGEL2,GO:0034314 GO:0042147 GO:0042752 GO:0045892 GO:0048511 GO:0051127 GO:0070534 GO:0000122
DUSP12,GO:0016311 GO:0033133 GO:0036211 GO:0006470
PCDHGB7,GO:0007156 GO:0007399 GO:0007155
KRBA2,GO:0006355 GO:0015074
ALPL,GO:0001501 GO:0001649 GO:0001958 GO:0003006 GO:0019725 GO:0030282 GO:0032496 GO:0032868 GO:0033280 GO:0034516 GO:0036005 GO:0042822 GO:0046677 GO:0051384 GO:0055062 GO:0055074 GO:0071407 GO:0071529 GO:0120162 GO:0140651 GO:0140928 GO:1904383 GO:0016311
LRCH4,GO:0007399 GO:0045892
ATXN2,GO:0002091 GO:0006417 GO:0016070 GO:0033962 GO:0034063 GO:0050658
CDK5RAP2,GO:0000132 GO:0000226 GO:0001578 GO:0007059 GO:0007098 GO:0007099 GO:0007420 GO:0022008 GO:0031023 GO:0031116 GO:0045664 GO:0045665 GO:0045736 GO:0045893 GO:0046600 GO:0090266
KCNJ11,GO:0006006 GO:0009410 GO:0033198 GO:0042391 GO:0046676 GO:0050796 GO:0050877 GO:0071805 GO:0098662 GO:0099505 GO:1990573 GO:0034765
METTL4,GO:0006325 GO:0032775 GO:0043484 GO:0090296 GO:0120049 GO:1902275 GO:1903108 GO:0080009
REC114,GO:0006310 GO:0051321
CLCC1,GO:1902476
TSPYL4,GO:0006334
SV2C,GO:0006836 GO:0007268 GO:0055085 GO:2000300
IGF2BP2-AS1,
C1QTNF8,GO:2000147
SLC4A7,GO:0006164 GO:0006221 GO:0015698 GO:0015701 GO:0035725 GO:0071363 GO:0090383 GO:0098656 GO:0060117 GO:0055085 GO:0051453
CHD1L,GO:0006281 GO:0006338 GO:0006974 GO:0032508
THAP6,
RAD51D,GO:0000722 GO:0000723 GO:0000724 GO:0006281 GO:0036297 GO:0042148 GO:0051726 GO:0007131
C9ORF163,
ATP6V0D2,GO:0016241 GO:1902600 GO:0007035 GO:0007034
KRTAP8-1,
MPI,GO:0009298 GO:0061611
MAPK3,GO:0010759 GO:0120041 GO:0000165 GO:0001934 GO:0006351 GO:0006468 GO:0006915 GO:0007049 GO:0008286 GO:0016310 GO:0019233 GO:0030278 GO:0030509 GO:0030641 GO:0030878 GO:0031281 GO:0031663 GO:0032212 GO:0032872 GO:0034198 GO:0034614 GO:0038083 GO:0042473 GO:0042770 GO:0043330 GO:0045944 GO:0048009 GO:0048538 GO:0050804 GO:0051090 GO:0051216 GO:0051403 GO:0051493 GO:0051973 GO:0060020 GO:0060324 GO:0060425 GO:0060440 GO:0061308 GO:0070371 GO:0070374 GO:0070498 GO:0070849 GO:0071260 GO:0071276 GO:0071356 GO:0072584 GO:0090170 GO:0098792 GO:1904355 GO:1904417 GO:2000641 GO:2000657 GO:0035556
TMSB15B,GO:0007015 GO:0030334 GO:0042989 GO:0007015 GO:0030335 GO:0042989 GO:0030334
VTI1A,GO:0006886 GO:0006888 GO:0006914 GO:0032456 GO:0042147 GO:0048280 GO:0050882 GO:0006896 GO:0016236 GO:0006891
VPS11,GO:0006886 GO:0006914 GO:0008333 GO:0016567 GO:0031647 GO:0033147 GO:0034058 GO:0035542 GO:0045732 GO:1902115 GO:1903955 GO:2000643 GO:0048284 GO:0007033 GO:0007032 GO:0006904
KATNAL1,GO:0007283 GO:0031122 GO:0051013
PRMT1,GO:0001701 GO:0006338 GO:0006479 GO:0007166 GO:0008284 GO:0008380 GO:0016570 GO:0018216 GO:0019082 GO:0031175 GO:0045648 GO:0045652 GO:0045653 GO:0045727 GO:0046329 GO:0046985 GO:0048738 GO:0051260 GO:1900745
CPED1,
LRRC1,
PSMB1,GO:0043161
TACC3,GO:0007052 GO:0007091 GO:0051301 GO:0060236 GO:1902850 GO:0000226 GO:0008283 GO:0021987
ATP5ME,GO:0015986 GO:0042776 GO:1902600
JMJD8,GO:0006110 GO:0043123 GO:1903302 GO:1903672
GNAQ,GO:0006469 GO:0007202 GO:0007213 GO:0007596 GO:0007603 GO:0009649 GO:0010543 GO:0050821 GO:0060828 GO:0060158 GO:0001508 GO:0007189 GO:0007215
TOPBP1,GO:0006259 GO:0006281 GO:0006974 GO:0010212 GO:0035825 GO:0033314 GO:0007095 GO:0006270
MAPK4,GO:0000165 GO:0006468 GO:0007049 GO:0035556
PHF12,GO:0000122 GO:0045892
