Oncogene/TSG Gene
ABL1
ABL2
ABRAXAS1
ACKR3
ACTG1
ACVR1
ADHFE1
AFF4
AGO1
AJUBA
AKT1
AKT2
AKT3
ALDH1L2
ALDH2
ALK
ALOX12B
AMER1
ANKRD11
APC
APLNR
AR
ARAF
ARHGAP35
ARHGEF28
ARID1A
ARID1B
ARID2
ARID3A
ARID3B
ARID4A
ARID4B
ARID5B
ASXL1
ASXL2
ATF1
ATM
ATP1A1
ATP6V1B2
ATR
ATRIP
ATRX
ATXN2
ATXN7
AURKA
AURKB
AXIN1
AXIN2
AXL
B2M
BAALC
BACH2
BAP1
BARD1
BBC3
BCL10
BCL11B
BCL2
BCL2L11
BCL3
BCL6
BCL9
BCOR
BCORL1
BCR
BLM
BMPR1A
BRAF
BRCA1
BRCA2
BRD3
BRD4
BRIP1
BRSK1
BTG1
BTG2
BTK
CALR
CARD11
CASP8
CBFB
CBL
CCNB3
CCND1
CCND2
CCND3
CCNE1
CCNQ
CD274
CD276
CD28
CD58
CD79A
CD79B
CDC42
CDC73
CDH1
CDK12
CDK4
CDK6
CDK8
CDKN1A
CDKN1B
CDKN2A
CDKN2B
CDKN2C
CEBPA
CHEK1
CHEK2
CHTF8
CIC
CIITA
CMTR2
COP1
CRBN
CREB1
CREBBP
CRKL
CRLF2
CSF3R
CTCF
CTLA4
CTNNB1
CTR9
CUL3
CUX1
CXCR4
CYLD
CYP19A1
CYSLTR2
DAXX
DCUN1D1
DDR2
DDX3X
DDX4
DDX41
DEK
DICER1
DIS3
DNMT1
DNMT3A
DNMT3B
DOT1L
DTX1
DUSP22
DUSP4
E2F3
ECSIT
ECT2L
EED
EGFL7
EGFR
EGR1
EIF2B1
EIF4A2
EIF4E
ELF3
EP300
EP400
EPCAM
EPHA3
EPHA7
EPHB1
EPOR
ERBB2
ERBB3
ERBB4
ERCC2
ERCC3
ERCC4
ERCC5
ERF
ERG
ERRFI1
ESCO2
ESR1
ETAA1
ETV1
ETV4
ETV5
ETV6
EWSR1
EXT1
EZH1
EZH2
EZHIP
FANCA
FANCC
FANCD2
FANCL
FAS
FAT1
FBXO11
FBXW7
FES
FGF19
FGF3
FGF4
FGFR1
FGFR2
FGFR3
FGFR4
FH
FLCN
FLI1
FLT1
FLT3
FLT4
FOLH1
FOXA1
FOXF1
FOXL2
FOXO1
FOXP1
FUBP1
FURIN
FUS
FYN
FZR1
GAB1
GAB2
GATA2
GATA3
GLI1
GNA11
GNA12
GNA13
GNAQ
GNAS
GNB1
GPS2
GREM1
GRIN2A
GSK3B
GTF2I
H1-3
H1-4
H1-5
H2AC17
H3-3A
HDAC1
HDAC4
HDAC7
HGF
HIF1A
HLA-A
HLA-B
HLA-C
HMGA1
HMGA2
HNF1A
HOXB13
HRAS
HSD17B2
HTATIP2
ICOSLG
ID1
ID3
IDH1
IDH2
IFNGR1
IGF1
IGF1R
IGF2
IKBKE
IKZF3
IL3
IL6ST
IL7R
INHA
INHBA
INPP4B
INPPL1
INSR
INTS6
IQGAP1
IRF1
IRF4
IRF8
IRS1
IRS2
JAK1
JAK2
JAK3
JARID2
JUN
KAT7
KDM5A
KDM5C
KDM6A
KDR
KEAP1
KIT
KLF2
KLF3
KLF4
KLF5
KMT2A
KMT2B
KMT2C
KMT2D
KRAS
KSR2
LATS1
LATS2
LCK
LGR5
LMO1
LMO2
LRP1B
LRP5
LRP6
LTB
LTK
LYN
LZTR1
MAD2L2
MAFB
MAL2
MAP2K1
MAP2K2
MAP2K4
MAP3K1
MAP3K13
MAP3K14
MAP4K4
MAPK1
MAPK3
MAX
MBD4
MBD6
MCL1
MDM2
MDM4
MECOM
MED12
MEF2B
MEF2C
MEF2D
MEN1
MERTK
MET
MGA
MGAM
MIDEAS
MITF
MKI67
MLH1
MLLT10
MLLT3
MOB3B
MPL
MRE11
MSH2
MSH3
MSH6
MSI1
MSI2
MST1
MST1R
MTAP
MTOR
MUTYH
MYBL1
MYC
MYCL
MYCN
MYD88
MYH11
MYOD1
NADK
NBN
NCOA3
NCOR1
NCSTN
NF1
NF2
NFE2
NFE2L2
NFKBIA
NKX2-1
NKX3-1
NOTCH1
NOTCH2
NOTCH3
NOTCH4
NPM1
NR4A3
NRAS
NRG1
NSD1
NSD2
NT5C2
NTHL1
NTRK1
NTRK2
NTRK3
NUF2
NUP214
NUP98
P2RY8
PAK1
PAK5
PALB2
PARP1
PAX5
PAX8
PBRM1
PDCD1
PDCD1LG2
PDGFB
PDGFRA
PDGFRB
PDS5B
PGBD5
PGR
PHF19
PHF6
PHOX2B
PIGA
PIK3CA
PIK3CB
PIK3CD
PIK3CG
PIK3R1
PIK3R2
PIK3R3
PLCG1
PLCG2
PMAIP1
PMS1
PMS2
POLD1
POLE
POT1
POU3F4
PPARG
PPM1D
PPP2R1A
PPP2R2A
PPP6C
PRDM1
PRKACA
PRKCI
PRKN
PRPF8
PSMB2
PTCH1
PTEN
PTPN1
PTPN11
PTPN2
PTPRD
PTPRS
PTPRT
RAB35
RAC1
